time,ax,ay,az,atotal
5.845,0.06,-0.03,-0.05,0.09
5.855,0.04,-0.08,-0.07,0.11
5.865,0.03,-0.11,-0.07,0.13
5.876,0.02,-0.10,-0.06,0.12
5.886,0.06,-0.08,-0.05,0.11
5.895,0.10,-0.06,-0.02,0.12
5.906,0.16,-0.04,0.00,0.16
5.916,0.19,-0.01,0.02,0.19
5.926,0.18,0.02,0.01,0.18
5.936,0.17,0.05,0.03,0.18
5.946,0.15,0.05,0.03,0.16
5.956,0.13,0.03,0.02,0.13
5.966,0.13,-0.02,0.01,0.13
5.976,0.13,-0.06,0.01,0.14
5.986,0.17,-0.11,0.01,0.21
5.996,0.24,-0.14,0.02,0.28
6.006,0.29,-0.16,0.04,0.33
6.016,0.29,-0.13,0.03,0.32
6.027,0.27,-0.07,0.03,0.28
6.036,0.22,-0.00,0.02,0.22
6.046,0.17,0.05,-0.00,0.18
6.056,0.14,0.08,-0.01,0.16
6.067,0.13,0.10,-0.03,0.17
6.077,0.14,0.10,-0.06,0.18
6.087,0.14,0.04,-0.10,0.17
6.097,0.11,-0.04,-0.12,0.17
6.107,0.07,-0.10,-0.11,0.17
6.117,0.06,-0.09,-0.10,0.15
6.127,0.08,-0.06,-0.08,0.13
6.137,0.09,-0.03,-0.08,0.12
6.147,0.10,-0.03,-0.08,0.13
6.157,0.12,-0.06,-0.09,0.16
6.167,0.12,-0.06,-0.09,0.16
6.177,0.15,-0.01,-0.07,0.16
6.187,0.16,0.03,-0.04,0.16
6.197,0.16,0.05,-0.06,0.17
6.208,0.15,0.06,-0.09,0.18
6.218,0.12,0.05,-0.10,0.17
6.227,0.13,0.03,-0.12,0.18
6.238,0.17,0.01,-0.11,0.21
6.248,0.18,-0.05,-0.08,0.20
6.258,0.16,-0.11,-0.03,0.20
6.268,0.12,-0.12,0.01,0.17
6.278,0.06,-0.08,0.01,0.10
6.288,0.05,-0.02,-0.01,0.06
6.298,0.03,0.03,-0.05,0.06
6.308,0.02,0.07,-0.08,0.10
6.318,0.04,0.07,-0.09,0.12
6.328,0.05,0.05,-0.09,0.11
6.338,0.07,0.01,-0.08,0.11
